case_id,citation_str,court,date_decided,judge,full_text_path
107160,383 U.S. 1,scotus,1966-02-21,Clark,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\107160.json
118019,517 U.S. 370,scotus,1996-04-29,Souter,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\118019.json
145737,550 U.S. 398,scotus,2007-04-30,Kennedy,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\145737.json
2679558,573 U.S. 208,scotus,2014-06-19,,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\2679558.json
2751497,772 F.3d 709,cafc,2014-11-14,,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\2751497.json
2757944,773 F.3d 1245,cafc,2014-12-05,Wallach,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\2757944.json
2808717,792 F.3d 1339,cafc,2015-06-16,Newman,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\2808717.json
3202929,822 F.3d 1327,cafc,2016-05-12,Hughes,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\3202929.json
3204019,823 F.3d 607,cafc,2016-05-17,Hughes,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\3204019.json
3219449,827 F.3d 1341,cafc,2016-06-27,Newman,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\3219449.json
4020383,830 F.3d 1350,cafc,2016-08-01,Taranto,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4020383.json
4033181,837 F.3d 1299,cafc,2016-09-13,Reyna,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4033181.json
4033559,837 F.3d 1299,cafc,2016-09-13,,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4033559.json
4094335,841 F.3d 1288,cafc,2016-11-01,Newman,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4094335.json
4151013,850 F.3d 1343,cafc,2017-03-08,Moore,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4151013.json
4195898,867 F.3d 1253,cafc,2017-08-15,O'Malley,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4195898.json
